"Case Number","Openshift Cluster ID","UUID","Account Number"
"03501556","ad9445e4-b9d5-4d91-b398-9ad12c6123db","385f5145-fa38-4c05-8b4a-22bcf1af3d20","6982269"
"03504167","872c674f-3c5d-48f2-930f-ad535fa3c227","05ed38c7-ae65-41f3-bed7-25746fd78f28","1294582"
"03505695","5e703282-0d4d-4dc3-962b-fefdddc29445","6f6a4067-e0fc-465d-829d-ccb13ede78bf","6060169"
"03509889","87dbe48e-774b-47f1-9870-aad0d865dad0","c033d9cb-53d2-421a-a7d3-41851895feed","11509714"
"03511709","7939bb99-8d93-4219-a561-22fbdf353cb0","d87c689d-806e-4358-a116-591ad50a2cef","5608269"
"03511843","09cac2be-f825-4d2c-a259-b5c8edc05e25","441aac04-9c46-47ea-9ff1-7151326d6682","1323660"
"03513741","","df6cc8a3-a5c8-4cd5-b7bd-b9d87cbd1020","871703"
"03515533","7ad0520e-b90f-424b-b154-2a7e62ed0a5f","b9fb65d2-da99-4977-8028-8d59a1bed0e0","1055302"
"03515533","7ad0520e-b90f-424b-b154-2a7e62ed0a5f","740c4c2c-33ae-42c9-b4e9-93bb820d2edf","1055302"
"03515533","7ad0520e-b90f-424b-b154-2a7e62ed0a5f","85c36982-ca1c-498c-aeea-6fd7f0728345","1055302"
"03516918","7fafbaa2-77d8-4e45-b7e2-e6860eee7d80","6c999505-8639-4f03-8e0d-ab9167ed2203","6143888"
"03518144","","0aa700c5-07fe-4d7a-997f-0c21ff55c390","6060169"
"03518922","dcab11cc-ff10-493e-952a-4c2a07ba3848","916950bb-d56c-4f91-ad71-5b10ea0ebc7f","5765246"
"03520187","","69fd12ea-d07f-4cff-9ba1-be7ebcd1bf26","6116713"
"03521209","8ae12e2a-f286-4d00-a4d9-8963fc7bca76","779cba24-88b0-4e12-9096-aa976b18daa4","5541847"
"03523200","","433e0be2-9b7e-43eb-944b-d5ab66c678d0","7427671"
"03524457","23a7cca9-bafb-4065-b726-ab5de1f84205","2ea14106-10f0-4f9e-a0a1-5e61d4ed5047","6059103"
"03526901","","f65fd4d4-b1cf-42f8-877c-2c9bfe63bb07","884713"
"03526901","","612de065-2b25-4a43-bb72-e8580a2b57a4","884713"


"Openshift - Reports for disconnected"
"Copyright (c) 2000-2023 salesforce.com, inc. All rights reserved."
"Confidential Information - Do Not Distribute"
"Generated By:  Yash Oza  6/15/2023, 4:00 PM"
"Red Hat, Inc"
